genre=Education,minInstalls_bin=100001-1000000,appId=2467
genre=Social,minInstalls_bin=0-10000,appId=2331
genre=Tools,minInstalls_bin=0-10000,appId=6994
genre=Trivia,minInstalls_bin=4.0,appId=30
genre=Weather,minInstalls_bin=100001-1000000,appId=613
genre=Medical,minInstalls_bin=100001-1000000,appId=215
genre=Trivia,minInstalls_bin=10001-100000,appId=625
genre=Role Playing,minInstalls_bin=0-10000,appId=1749
genre=Beauty,minInstalls_bin=10001-100000,appId=67
genre=Education,minInstalls_bin=1000001-10000000,appId=731
genre=Health & Fitness,minInstalls_bin=4.0,appId=42
genre=Events,minInstalls_bin=0-10000,appId=180
genre=Weather,minInstalls_bin=4.0,appId=61
genre=Music & Audio,minInstalls_bin=0-10000,appId=2135
genre=Lifestyle,minInstalls_bin=1000001-10000000,appId=335
genre=Libraries & Demo,minInstalls_bin=0-10000,appId=141
genre=Board,minInstalls_bin=10001-100000,appId=838
genre=Casual,minInstalls_bin=100001-1000000,appId=1866
genre=Educational,minInstalls_bin=0-10000,appId=2123
genre=Auto & Vehicles,minInstalls_bin=1000001-10000000,appId=59
genre=Social,minInstalls_bin=10001-100000,appId=904
genre=Arcade,minInstalls_bin=4.0,appId=374
genre=Beauty,minInstalls_bin=1000001-10000000,appId=28
genre=Personalization,minInstalls_bin=10001-100000,appId=865
genre=Entertainment,minInstalls_bin=0-10000,appId=5155
genre=Sports,minInstalls_bin=100001-1000000,appId=1104
genre=Beauty,minInstalls_bin=0-10000,appId=161
genre=Art & Design,minInstalls_bin=1000001-10000000,appId=108
genre=Casual,minInstalls_bin=1000001-10000000,appId=1255
genre=Finance,minInstalls_bin=1000001-10000000,appId=98
genre=Shopping,minInstalls_bin=4.0,appId=11
genre=Travel & Local,minInstalls_bin=100001-1000000,appId=321
genre=Libraries & Demo,minInstalls_bin=10001-100000,appId=36
genre=Educational,minInstalls_bin=4.0,appId=249
genre=Video Players & Editors,minInstalls_bin=100001-1000000,appId=372
genre=Shopping,minInstalls_bin=0-10000,appId=639
genre=Business,minInstalls_bin=10001-100000,appId=636
genre=Educational,minInstalls_bin=100001-1000000,appId=833
genre=Strategy,minInstalls_bin=100001-1000000,appId=1183
genre=Entertainment,minInstalls_bin=4.0,appId=182
genre=Parenting,minInstalls_bin=1000001-10000000,appId=58
genre=Arcade,minInstalls_bin=5.0,appId=1
genre=Productivity,minInstalls_bin=5.0,appId=5
genre=Beauty,minInstalls_bin=4.0,appId=7
genre=News & Magazines,minInstalls_bin=4.0,appId=10
genre=House & Home,minInstalls_bin=100001-1000000,appId=26
genre=Business,minInstalls_bin=5.0,appId=1
genre=Medical,minInstalls_bin=4.0,appId=3
genre=Travel & Local,minInstalls_bin=4.0,appId=15
genre=Food & Drink,minInstalls_bin=4.0,appId=3
genre=Music & Audio,minInstalls_bin=5.0,appId=2
genre=Comics,minInstalls_bin=4.0,appId=10
genre=Social,minInstalls_bin=5.0,appId=3
genre=Tools,minInstalls_bin=5.0,appId=1
genre=Events,minInstalls_bin=4.0,appId=1
genre=Casual,minInstalls_bin=5.0,appId=2
genre=Action,minInstalls_bin=5.0,appId=1
